x,y,z,vector_magnitude
100.974,-42.9147,-106.418,152.847
100.937,-42.8281,-106.48,152.841
100.88,-42.8445,-106.436,152.777
100.878,-42.8044,-106.419,152.754
100.799,-42.8124,-106.25,152.586
100.912,-42.8398,-106.267,152.68
100.788,-42.8657,-106.189,152.551
100.92,-42.8075,-106.21,152.636
100.888,-42.8035,-106.111,152.546
100.965,-42.7572,-106.198,152.644
101.072,-42.7779,-106.169,152.7
101.225,-42.8029,-106.151,152.796
101.228,-42.8219,-106.083,152.757
101.396,-42.8078,-106.163,152.919
101.5,-42.798,-106.089,152.934
101.605,-42.8101,-106.303,153.156
101.501,-42.9044,-106.301,153.111
101.611,-42.7878,-106.381,153.207
101.67,-42.8859,-106.249,153.182
101.743,-42.801,-106.334,153.266
101.639,-42.8678,-106.202,153.124
101.804,-42.8903,-106.279,153.294
101.778,-42.9654,-106.086,153.163
101.922,-42.8852,-106.127,153.265
101.961,-42.9189,-105.955,153.181
101.921,-42.9402,-105.907,153.127
101.889,-43.0089,-105.806,153.055
101.946,-42.9347,-105.92,153.151
101.922,-43.0251,-105.976,153.2
101.96,-42.9713,-105.926,153.175
102.023,-42.9869,-106.006,153.277
102.061,-42.9393,-106.132,153.376
101.957,-42.9529,-106.075,153.271
101.985,-42.9357,-106.149,153.336
101.976,-42.9892,-106.113,153.32
101.914,-42.8406,-106.078,153.213
101.852,-42.8578,-106.01,153.13
101.958,-42.8631,-106.131,153.285
101.852,-42.9813,-106.132,153.249
101.883,-42.9644,-106.171,153.292
101.765,-42.913,-106.187,153.21
101.878,-42.8537,-106.133,153.232
101.797,-42.8793,-106.123,153.178
101.768,-42.7772,-106.132,153.136
101.685,-42.7852,-105.967,152.969
101.68,-42.7401,-105.945,152.938
101.66,-42.7179,-105.816,152.828
101.63,-42.5574,-105.896,152.82
101.673,-42.6337,-105.789,152.795
101.713,-42.6268,-105.81,152.834
101.739,-42.7445,-105.738,152.835
101.658,-42.6977,-105.867,152.857
101.598,-42.735,-105.875,152.833
101.689,-42.6463,-105.963,152.929
